Classifier,Dataset,Sampling,Auc,Kappa,Tue_Negative,True_Positive,False_Negative,False_positive,Precision,Recall,Perc_Train_Total,Num_Training_Release,Snoring_Class
IBk,BOOKKEEPER,SMOTE,0.8338005606728074,0.3626745132410942,1018.0,0.0,0.0,0.0,0.9670184696569921,0.8072687224669604,6.666666666666667,1,-62
RandomForest,BOOKKEEPER,None,0.6118097320940404,0.0,1020.0,0.0,0.0,0.0,0.942156862745098,1.0,13.333333333333334,2,0
RandomForest,BOOKKEEPER,Under Sampling,0.631034057038043,0.0,1020.0,0.0,0.0,0.0,0.942156862745098,1.0,13.333333333333334,2,0
RandomForest,BOOKKEEPER,Over Sampling,0.6395174518069102,0.0,1020.0,0.0,0.0,0.0,0.942156862745098,1.0,13.333333333333334,2,0
RandomForest,BOOKKEEPER,SMOTE,0.6154958641245878,0.0,1020.0,0.0,0.0,0.0,0.942156862745098,1.0,13.333333333333334,2,0
NaiveBayes,BOOKKEEPER,None,0.799220444805023,0.1933371228035492,1020.0,0.0,0.0,0.0,0.9498495486459378,0.9854318418314256,13.333333333333334,2,0
NaiveBayes,BOOKKEEPER,Under Sampling,0.799220444805023,0.1933371228035492,1020.0,0.0,0.0,0.0,0.9498495486459378,0.9854318418314256,13.333333333333334,2,0
NaiveBayes,BOOKKEEPER,Over Sampling,0.6934690206176476,0.15081716998523242,1020.0,0.0,0.0,0.0,0.9594438006952491,0.8616024973985432,13.333333333333334,2,0
NaiveBayes,BOOKKEEPER,SMOTE,0.7827122171466869,0.167322369974034,1020.0,0.0,0.0,0.0,0.9507186858316222,0.963579604578564,13.333333333333334,2,0
IBk,BOOKKEEPER,None,0.6458579516393588,-0.015549503645787565,1020.0,0.0,0.0,0.0,0.9416419386745796,0.9906347554630593,13.333333333333334,2,0
IBk,BOOKKEEPER,Under Sampling,0.6458579516393588,-0.015549503645787565,1020.0,0.0,0.0,0.0,0.9416419386745796,0.9906347554630593,13.333333333333334,2,0
IBk,BOOKKEEPER,Over Sampling,0.6806910174782624,0.05229271356783897,1020.0,0.0,0.0,0.0,0.9441117764471058,0.9843912591050988,13.333333333333334,2,0
IBk,BOOKKEEPER,SMOTE,0.6448350059083935,-0.01851587686513917,1020.0,0.0,0.0,0.0,0.9415262636273538,0.9885535900104059,13.333333333333334,2,0
RandomForest,BOOKKEEPER,None,0.924328539247964,0.26834665027658267,1024.0,0.0,0.0,0.0,0.9902173913043478,0.9155778894472362,20.0,3,-46
RandomForest,BOOKKEEPER,Under Sampling,0.9251256281407035,0.3241030315412299,1024.0,0.0,0.0,0.0,0.9934994582881906,0.9216080402010051,20.0,3,-46
RandomForest,BOOKKEEPER,Over Sampling,0.8997574077282967,0.2006342623650668,1024.0,0.0,0.0,0.0,0.9898305084745763,0.8804020100502512,20.0,3,-46
RandomForest,BOOKKEEPER,None,0.8940439201643057,0.1996880461541355,1151.0,0.0,0.0,0.0,0.9745166959578208,0.9928379588182632,26.666666666666668,4,-13
RandomForest,BOOKKEEPER,Under Sampling,0.8808915688029912,0.13764315530343554,1151.0,0.0,0.0,0.0,0.9729020979020979,0.9964189794091316,26.666666666666668,4,-13
RandomForest,BOOKKEEPER,Over Sampling,0.858799831481384,0.05244552058111635,1151.0,0.0,0.0,0.0,0.9712793733681462,0.999104744852283,26.666666666666668,4,-13
RandomForest,BOOKKEEPER,None,0.9252480600432514,0.44712533254507797,1151.0,0.0,0.0,0.0,0.9849690539345711,0.9919857524487978,33.33333333333333,5,-16
RandomForest,BOOKKEEPER,Under Sampling,0.9226879531866174,0.5008202439990195,1151.0,0.0,0.0,0.0,0.9858657243816255,0.993766696349065,33.33333333333333,5,-16
