Classifier,Dataset,Sampling,Auc,Kappa,Tue_Negative,True_Positive,False_Negative,False_positive,Precision,Recall,Perc_Train_Total,Num_Training_Release,Snoring_Class
IBk,AVRO,Under Sampling,0.9088170865279299,0.8338919426196543,354.0,0.0,0.0,0.0,0.9909365558912386,0.9879518072289156,33.33333333333333,12,0
IBk,AVRO,Over Sampling,0.901355421686747,0.7771716323961388,354.0,0.0,0.0,0.0,0.984984984984985,0.9879518072289156,33.33333333333333,12,0
IBk,AVRO,SMOTE,0.9099808324205915,0.8338919426196543,354.0,0.0,0.0,0.0,0.9909365558912386,0.9879518072289156,33.33333333333333,12,0
RandomForest,AVRO,None,0.9880887185104053,0.5730824891461651,354.0,0.0,0.0,0.0,0.967551622418879,0.9879518072289156,36.11111111111111,13,0
RandomForest,AVRO,Under Sampling,0.9913061336254108,0.5730824891461651,354.0,0.0,0.0,0.0,0.967551622418879,0.9879518072289156,36.11111111111111,13,0
RandomForest,AVRO,Over Sampling,0.984802847754655,0.5078206465067774,354.0,0.0,0.0,0.0,0.9619883040935673,0.9909638554216867,36.11111111111111,13,0
RandomForest,AVRO,SMOTE,0.9922645125958379,0.746925936517015,354.0,0.0,0.0,0.0,0.9820359281437125,0.9879518072289156,36.11111111111111,13,0
NaiveBayes,AVRO,None,0.6425246440306681,0.06932074256894515,354.0,0.0,0.0,0.0,0.9435736677115988,0.9066265060240963,36.11111111111111,13,0
NaiveBayes,AVRO,Under Sampling,0.6425246440306681,0.06932074256894515,354.0,0.0,0.0,0.0,0.9435736677115988,0.9066265060240963,36.11111111111111,13,0
NaiveBayes,AVRO,Over Sampling,0.6874315443592552,0.07289393278044523,354.0,0.0,0.0,0.0,0.94375,0.9096385542168675,36.11111111111111,13,0
NaiveBayes,AVRO,SMOTE,0.6362267250821467,0.06251947242704393,354.0,0.0,0.0,0.0,0.943217665615142,0.9006024096385542,36.11111111111111,13,0
IBk,AVRO,None,0.8218784227820373,0.5295845572807384,354.0,0.0,0.0,0.0,0.96996996996997,0.9728915662650602,36.11111111111111,13,0
IBk,AVRO,Under Sampling,0.8218784227820373,0.5295845572807384,354.0,0.0,0.0,0.0,0.96996996996997,0.9728915662650602,36.11111111111111,13,0
IBk,AVRO,Over Sampling,0.7073521358159912,0.4800671422576587,354.0,0.0,0.0,0.0,0.9669669669669669,0.9698795180722891,36.11111111111111,13,0
IBk,AVRO,SMOTE,0.8448795180722891,0.5491352728247755,354.0,0.0,0.0,0.0,0.972809667673716,0.9698795180722891,36.11111111111111,13,0
RandomForest,AVRO,None,0.9887708445400754,0.8335388409371142,360.0,0.0,0.0,0.0,0.9825581395348837,1.0,38.88888888888889,14,0
RandomForest,AVRO,Under Sampling,0.9849381387842926,0.8009478672985778,360.0,0.0,0.0,0.0,0.9797101449275363,1.0,38.88888888888889,14,0
RandomForest,AVRO,Over Sampling,0.9655728886498117,0.8009478672985778,360.0,0.0,0.0,0.0,0.9797101449275363,1.0,38.88888888888889,14,0
RandomForest,AVRO,SMOTE,0.9885691231845078,0.8335388409371142,360.0,0.0,0.0,0.0,0.9825581395348837,1.0,38.88888888888889,14,0
NaiveBayes,AVRO,None,0.6971490048413125,0.060618225612203924,360.0,0.0,0.0,0.0,0.9440993788819876,0.8994082840236687,38.88888888888889,14,0
NaiveBayes,AVRO,Under Sampling,0.6971490048413125,0.060618225612203924,360.0,0.0,0.0,0.0,0.9440993788819876,0.8994082840236687,38.88888888888889,14,0
NaiveBayes,AVRO,Over Sampling,0.6949973103819258,0.060618225612203924,360.0,0.0,0.0,0.0,0.9440993788819876,0.8994082840236687,38.88888888888889,14,0
NaiveBayes,AVRO,SMOTE,0.6962076385153309,0.054474708171206185,360.0,0.0,0.0,0.0,0.94375,0.893491124260355,38.88888888888889,14,0
IBk,AVRO,None,0.7553792361484669,0.539572675293409,360.0,0.0,0.0,0.0,0.967930029154519,0.9822485207100592,38.88888888888889,14,0
IBk,AVRO,Under Sampling,0.7553792361484669,0.539572675293409,360.0,0.0,0.0,0.0,0.967930029154519,0.9822485207100592,38.88888888888889,14,0
IBk,AVRO,Over Sampling,0.8265868746637978,0.5734597156398109,360.0,0.0,0.0,0.0,0.9681159420289855,0.9881656804733728,38.88888888888889,14,0
IBk,AVRO,SMOTE,0.7962614308768154,0.5767195767195771,360.0,0.0,0.0,0.0,0.9707602339181286,0.9822485207100592,38.88888888888889,14,0
RandomForest,AVRO,None,0.9928646934460887,0.8336867615873976,366.0,0.0,0.0,0.0,0.9828571428571429,1.0,41.66666666666667,15,0
RandomForest,AVRO,Under Sampling,0.9947145877378436,0.8336867615873976,366.0,0.0,0.0,0.0,0.9828571428571429,1.0,41.66666666666667,15,0
RandomForest,AVRO,Over Sampling,0.9878435517970402,0.7668789808917195,366.0,0.0,0.0,0.0,0.9772727272727273,1.0,41.66666666666667,15,0
RandomForest,AVRO,SMOTE,0.9952431289640592,0.8336867615873976,366.0,0.0,0.0,0.0,0.9828571428571429,1.0,41.66666666666667,15,0
NaiveBayes,AVRO,None,0.7040169133192389,0.061908517350157094,366.0,0.0,0.0,0.0,0.9451219512195121,0.9011627906976745,41.66666666666667,15,0
NaiveBayes,AVRO,Under Sampling,0.7040169133192389,0.061908517350157094,366.0,0.0,0.0,0.0,0.9451219512195121,0.9011627906976745,41.66666666666667,15,0
NaiveBayes,AVRO,Over Sampling,0.7209302325581395,0.06841783750763587,366.0,0.0,0.0,0.0,0.9454545454545454,0.9069767441860465,41.66666666666667,15,0
NaiveBayes,AVRO,SMOTE,0.7066596194503171,0.0557997324670356,366.0,0.0,0.0,0.0,0.9447852760736196,0.8953488372093024,41.66666666666667,15,0
IBk,AVRO,None,0.8358879492600423,0.8336867615873976,366.0,0.0,0.0,0.0,0.9828571428571429,1.0,41.66666666666667,15,0
IBk,AVRO,Under Sampling,0.8358879492600423,0.8336867615873976,366.0,0.0,0.0,0.0,0.9828571428571429,1.0,41.66666666666667,15,0
IBk,AVRO,Over Sampling,0.8321881606765328,0.7885615251299826,366.0,0.0,0.0,0.0,0.9827586206896551,0.9941860465116279,41.66666666666667,15,0
IBk,AVRO,SMOTE,0.9574524312896406,0.9032769556025368,366.0,0.0,0.0,0.0,0.9941860465116279,0.9941860465116279,41.66666666666667,15,0
RandomForest,AVRO,None,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,44.44444444444444,16,0
RandomForest,AVRO,Under Sampling,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,44.44444444444444,16,0
RandomForest,AVRO,Over Sampling,1.0,0.9494893734474192,366.0,0.0,0.0,0.0,0.9942196531791907,1.0,44.44444444444444,16,0
RandomForest,AVRO,SMOTE,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,44.44444444444444,16,0
NaiveBayes,AVRO,None,0.7242336152219874,0.061908517350157094,366.0,0.0,0.0,0.0,0.9451219512195121,0.9011627906976745,44.44444444444444,16,0
NaiveBayes,AVRO,Under Sampling,0.7242336152219874,0.061908517350157094,366.0,0.0,0.0,0.0,0.9451219512195121,0.9011627906976745,44.44444444444444,16,0
NaiveBayes,AVRO,Over Sampling,0.7225158562367865,0.0557997324670356,366.0,0.0,0.0,0.0,0.9447852760736196,0.8953488372093024,44.44444444444444,16,0
NaiveBayes,AVRO,SMOTE,0.7176268498942917,0.0557997324670356,366.0,0.0,0.0,0.0,0.9447852760736196,0.8953488372093024,44.44444444444444,16,0
IBk,AVRO,None,0.9988768498942917,0.9763229395782119,366.0,0.0,0.0,0.0,1.0,0.997093023255814,44.44444444444444,16,0
IBk,AVRO,Under Sampling,0.9988768498942917,0.9763229395782119,366.0,0.0,0.0,0.0,1.0,0.997093023255814,44.44444444444444,16,0
IBk,AVRO,Over Sampling,0.9334038054968288,0.8032963095664634,366.0,0.0,0.0,0.0,0.9941002949852508,0.9796511627906976,44.44444444444444,16,0
IBk,AVRO,SMOTE,0.9988768498942917,0.9763229395782119,366.0,0.0,0.0,0.0,1.0,0.997093023255814,44.44444444444444,16,0
RandomForest,AVRO,None,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,47.22222222222222,17,0
RandomForest,AVRO,Under Sampling,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,47.22222222222222,17,0
RandomForest,AVRO,Over Sampling,0.9989429175475687,0.9032769556025368,366.0,0.0,0.0,0.0,0.9941860465116279,0.9941860465116279,47.22222222222222,17,0
RandomForest,AVRO,SMOTE,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,47.22222222222222,17,0
NaiveBayes,AVRO,None,0.7391649048625792,0.061908517350157094,366.0,0.0,0.0,0.0,0.9451219512195121,0.9011627906976745,47.22222222222222,17,0
NaiveBayes,AVRO,Under Sampling,0.7391649048625792,0.061908517350157094,366.0,0.0,0.0,0.0,0.9451219512195121,0.9011627906976745,47.22222222222222,17,0
NaiveBayes,AVRO,Over Sampling,0.6693974630021141,0.061908517350157094,366.0,0.0,0.0,0.0,0.9451219512195121,0.9011627906976745,47.22222222222222,17,0
NaiveBayes,AVRO,SMOTE,0.7330866807610994,0.0557997324670356,366.0,0.0,0.0,0.0,0.9447852760736196,0.8953488372093024,47.22222222222222,17,0
IBk,AVRO,None,0.9973572938689218,0.9536121673003802,366.0,0.0,0.0,0.0,1.0,0.9941860465116279,47.22222222222222,17,0
IBk,AVRO,Under Sampling,0.9973572938689218,0.9536121673003802,366.0,0.0,0.0,0.0,1.0,0.9941860465116279,47.22222222222222,17,0
IBk,AVRO,Over Sampling,0.99392177589852,0.9108621529469069,366.0,0.0,0.0,0.0,1.0,0.9883720930232558,47.22222222222222,17,0
IBk,AVRO,SMOTE,0.9986786469344608,0.9536121673003802,366.0,0.0,0.0,0.0,1.0,0.9941860465116279,47.22222222222222,17,0
RandomForest,AVRO,None,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,50.0,18,0
RandomForest,AVRO,Under Sampling,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,50.0,18,0
RandomForest,AVRO,Over Sampling,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,50.0,18,0
RandomForest,AVRO,SMOTE,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,50.0,18,0
NaiveBayes,AVRO,None,0.7478858350951374,0.061908517350157094,366.0,0.0,0.0,0.0,0.9451219512195121,0.9011627906976745,50.0,18,0
NaiveBayes,AVRO,Under Sampling,0.7478858350951374,0.061908517350157094,366.0,0.0,0.0,0.0,0.9451219512195121,0.9011627906976745,50.0,18,0
NaiveBayes,AVRO,Over Sampling,0.7278012684989429,0.07536842105263142,366.0,0.0,0.0,0.0,0.9457831325301205,0.9127906976744186,50.0,18,0
NaiveBayes,AVRO,SMOTE,0.7457716701902748,0.0557997324670356,366.0,0.0,0.0,0.0,0.9447852760736196,0.8953488372093024,50.0,18,0
IBk,AVRO,None,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,50.0,18,0
IBk,AVRO,Under Sampling,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,50.0,18,0
IBk,AVRO,Over Sampling,0.9986786469344608,0.9536121673003802,366.0,0.0,0.0,0.0,1.0,0.9941860465116279,50.0,18,0
IBk,AVRO,SMOTE,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,50.0,18,0
RandomForest,AVRO,None,0.9596643518518518,0.834808259587021,384.0,0.0,0.0,0.0,0.9862258953168044,0.9944444444444445,52.77777777777778,19,0
RandomForest,AVRO,Under Sampling,0.9831597222222223,0.834808259587021,384.0,0.0,0.0,0.0,0.9862258953168044,0.9944444444444445,52.77777777777778,19,0
RandomForest,AVRO,Over Sampling,0.977025462962963,0.8150289017341038,384.0,0.0,0.0,0.0,0.9861878453038674,0.9916666666666667,52.77777777777778,19,0
RandomForest,AVRO,SMOTE,0.9616319444444444,0.8150289017341038,384.0,0.0,0.0,0.0,0.9861878453038674,0.9916666666666667,52.77777777777778,19,0
NaiveBayes,AVRO,None,0.6576388888888889,0.09909909909909884,384.0,0.0,0.0,0.0,0.9454022988505747,0.9138888888888889,52.77777777777778,19,0
NaiveBayes,AVRO,Under Sampling,0.6576388888888889,0.09909909909909884,384.0,0.0,0.0,0.0,0.9454022988505747,0.9138888888888889,52.77777777777778,19,0
NaiveBayes,AVRO,Over Sampling,0.6285879629629629,0.10297482837528607,384.0,0.0,0.0,0.0,0.9455587392550143,0.9166666666666666,52.77777777777778,19,0
NaiveBayes,AVRO,SMOTE,0.6530092592592592,0.09170305676855897,384.0,0.0,0.0,0.0,0.9450867052023122,0.9083333333333333,52.77777777777778,19,0
IBk,AVRO,None,0.8578125,0.6300578034682085,384.0,0.0,0.0,0.0,0.9751381215469613,0.9805555555555555,52.77777777777778,19,0
IBk,AVRO,Under Sampling,0.8578125,0.6300578034682085,384.0,0.0,0.0,0.0,0.9751381215469613,0.9805555555555555,52.77777777777778,19,0
IBk,AVRO,Over Sampling,0.775636574074074,0.5721925133689835,384.0,0.0,0.0,0.0,0.9748603351955307,0.9694444444444444,52.77777777777778,19,0
IBk,AVRO,SMOTE,0.8553240740740741,0.6,384.0,0.0,0.0,0.0,0.975,0.975,52.77777777777778,19,0
RandomForest,AVRO,None,0.9252250409165302,0.6775154710061888,402.0,0.0,0.0,0.0,0.9738219895287958,0.9893617021276596,55.55555555555556,20,0
RandomForest,AVRO,Under Sampling,0.875971767594108,0.7120343839541549,402.0,0.0,0.0,0.0,0.9739583333333334,0.9946808510638298,55.55555555555556,20,0
RandomForest,AVRO,Over Sampling,0.900163666121113,0.7120343839541549,402.0,0.0,0.0,0.0,0.9739583333333334,0.9946808510638298,55.55555555555556,20,0
RandomForest,AVRO,SMOTE,0.9329991816693944,0.6456588805641249,402.0,0.0,0.0,0.0,0.9736842105263158,0.9840425531914894,55.55555555555556,20,0
NaiveBayes,AVRO,None,0.6021890343698855,0.1280583029672048,402.0,0.0,0.0,0.0,0.9453551912568307,0.9202127659574468,55.55555555555556,20,0
NaiveBayes,AVRO,Under Sampling,0.6021890343698855,0.1280583029672048,402.0,0.0,0.0,0.0,0.9453551912568307,0.9202127659574468,55.55555555555556,20,0
NaiveBayes,AVRO,Over Sampling,0.5747749590834698,0.1459449473489742,402.0,0.0,0.0,0.0,0.9459459459459459,0.9308510638297872,55.55555555555556,20,0
NaiveBayes,AVRO,SMOTE,0.5997340425531915,0.11990569215224037,402.0,0.0,0.0,0.0,0.945054945054945,0.9148936170212766,55.55555555555556,20,0
IBk,AVRO,None,0.6499590834697218,0.2829964328180736,402.0,0.0,0.0,0.0,0.9525065963060686,0.9601063829787234,55.55555555555556,20,0
IBk,AVRO,Under Sampling,0.6499590834697218,0.2829964328180736,402.0,0.0,0.0,0.0,0.9525065963060686,0.9601063829787234,55.55555555555556,20,0
IBk,AVRO,Over Sampling,0.6697013093289689,0.19608690952329502,402.0,0.0,0.0,0.0,0.9472295514511874,0.9547872340425532,55.55555555555556,20,0
IBk,AVRO,SMOTE,0.6511865793780688,0.26726382668472054,402.0,0.0,0.0,0.0,0.9522546419098143,0.9547872340425532,55.55555555555556,20,0
RandomForest,AVRO,None,1.0,0.9573520050922981,402.0,0.0,0.0,0.0,0.9947089947089947,1.0,58.333333333333336,21,0
RandomForest,AVRO,Under Sampling,1.0,1.0,402.0,0.0,0.0,0.0,1.0,1.0,58.333333333333336,21,0
RandomForest,AVRO,Over Sampling,0.9950900163666121,0.8720560152768932,402.0,0.0,0.0,0.0,0.9894179894179894,0.9946808510638298,58.333333333333336,21,0
RandomForest,AVRO,SMOTE,1.0,0.9573520050922981,402.0,0.0,0.0,0.0,0.9947089947089947,1.0,58.333333333333336,21,0
NaiveBayes,AVRO,None,0.6624386252045826,0.1280583029672048,402.0,0.0,0.0,0.0,0.9453551912568307,0.9202127659574468,58.333333333333336,21,0
